rank;year;title_name;title_id;distributor;release_day;release_month;release_year;worldwide_gross;domestic_gross;foreign_gross;opening_gross;budget;genres
6503;2019;bharat;tt7721800;viva pictures distribution;30;5;2019;33185983;2971549;30214434;1252301;;action,drama,history
6504;2016;anthropoid;tt4190530;bleecker street media;12;8;2016;5079219;2964845;2114374;1233519;;biography,history,thriller,war
6505;2013;in a world;tt2294677;roadside attractions;9;8;2013;3114953;2963902;151051;70541;;comedy
6506;2000;isnt she great;tt0141399;universal pictures;28;1;2000;3003296;2962465;40831;1368705;44000000;biography,comedy,drama,romance
6507;2008;man on wire;tt1155592;magnolia pictures;25;7;2008;5258569;2962242;2296327;51392;;biography,documentary,history
6508;1990;metropolitan;tt0100142;new line cinema;3;8;1990;2960492;2960492;;46663;230000;comedy,drama,romance
6509;2007;gracie;tt0441007;picturehouse;1;6;2007;3826568;2956339;870229;1355904;9000000;biography,drama,sport
6510;1989;976evil;tt0094597;new line cinema;24;3;1989;2955917;2955917;;794049;;comedy,horror
6511;2004;veerzaara;tt0420332;yash raj films;11;11;2004;6887221;2938532;3948689;843010;7000000;drama,family,musical,romance
6512;1984;careful he might hear you;tt0085295;twentieth century fox;15;6;1984;2938179;2938179;;;;drama
6513;2000;up at the villa;tt0153464;usa films;5;5;2000;3740113;2933161;806952;339819;;drama,romance
6514;2010;joan rivers a piece of work;tt1568150;ifc films;11;6;2010;2930687;2930687;;164351;;biography,comedy,documentary,drama
6515;2016;the beatles eight days a week  the touring years;tt2531318;abramorama;15;9;2016;12283800;2930414;9353386;785336;;documentary,music
6516;2008;choke;tt1024715;fox searchlight pictures;24;9;2008;3982459;2926565;1055894;1319286;;comedy,drama
6517;1999;love stinks;tt0188863;independent artists;10;9;1999;2924635;2924635;;1339575;;comedy
6518;1997;waiting for guffman;tt0118111;sony pictures classics;31;1;1997;2923982;2923982;;37990;4000000;comedy
6519;2004;cliffords really big movie;tt0398872;warner bros;20;4;2004;3255426;2922354;333072;662152;;adventure,animation,comedy,family
6520;1992;this is my life;tt0105577;twentieth century fox;21;2;1992;2922094;2922094;;72440;;drama
6521;1982;homework;tt0084084;jensen farley pictures;27;8;1982;2914328;2914328;;1366535;;comedy,drama
6522;1984;crimes of passion;tt0087100;new world pictures;19;10;1984;2912945;2912945;;1103210;;drama,romance,thriller
6523;2006;tsotsi;tt0468565;miramax;23;12;2005;9879971;2912606;6967365;76324;;crime,drama
6524;1999;cradle will rock;tt0150216;walt disney studios motion pictures;10;12;1999;2986932;2903404;83528;93998;36000000;drama
6525;2001;kabhi khushi kabhie gham;tt0248126;yash raj films;14;12;2001;11334547;2902000;8432547;;7500000;drama,musical,romance
6526;2001;waking life;tt0243017;fox searchlight pictures;19;10;2001;3176880;2901447;275433;88977;;animation,drama,fantasy
6527;1980;midnight madness;tt0081159;walt disney studios motion pictures;8;2;1980;2900000;2900000;;;;comedy
6528;1999;wildfire feel the heat;tt0194544;primesco;12;3;1999;2898991;2898991;;;;documentary,short
6529;2002;tadpole;tt0271219;miramax;19;7;2002;3200241;2891288;308953;80682;;comedy,drama,romance
6530;1984;the warrior and the sorceress;tt0088379;new world pictures;7;9;1984;2886225;2886225;;574210;;adventure,fantasy
6531;2019;friends the one with the anniversary;tt10764458;fathom events;23;9;2019;3403406;2884827;518579;1177873;;comedy
6532;2014;the trip to italy;tt2967006;ifc films;29;5;2014;5973303;2880537;3092766;71712;;comedy,drama
